NPSN,Nama,Nama Sekolah,Bentuk Pendidikan,Status,Alamat,Kabupaten/Kota,Kecamatan,Desa/Kelurahan,URL,Provinsi,Jenjang
69881510,MAS Darul Afkar,MAS DARUL AFKAR,MA,SWASTA,Jl. Taman Nasional Ujungkulon Kp. Cihanggasa,Kab. Pandeglang,Sumur,KERTAMUKTI,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/69881510,Status Sekolah : SWASTA,DIKMEN
20600459,SMAN 16 PANDEGLANG,SMAN 16 PANDEGLANG,SMA,NEGERI,Jl. Raya Cibaliung Km.02,Kab. Pandeglang,Sumur,KERTAJAYA,https://referensi.data.kemendikdasmen.go.id/pendidikan/npsn/20600459,Status Sekolah : NEGERI,DIKMEN
